building,name,lat,lon,first_seen,last_seen,note
1,인문관1(1동),37.46027,126.95234,2021-1,2026-2,서울대 캠퍼스맵 API
2,인문관2(2동),37.46038,126.95295,2021-1,2026-2,서울대 캠퍼스맵 API
3,인문관3(3동),37.46071,126.95355,2021-1,2026-2,서울대 캠퍼스맵 API
4,신양인문학술정보관(4동),37.46089,126.95326,2021-1,2026-2,서울대 캠퍼스맵 API
5,인문관4(5동),37.4606,126.95393,2021-1,2026-2,서울대 캠퍼스맵 API
6,인문관5(6동),37.46073,126.95452,2021-1,2026-2,서울대 캠퍼스맵 API
7,인문관6(7동),37.46022,126.95436,2021-1,2025-2,서울대 캠퍼스맵 API
8,두산인문관(8동),37.46016,126.95398,2021-1,2026-2,서울대 캠퍼스맵 API
9,사범관1(9동),37.46017,126.9548,2021-1,2026-2,서울대 캠퍼스맵 API
10,사범관2(10동),37.46031,126.95536,2021-1,2026-2,서울대 캠퍼스맵 API
10-1,사범대교육정보관(10-1동),37.45996,126.95592,2021-1,2026-2,서울대 캠퍼스맵 API
11,사범관3(11동),37.45979,126.9552,2021-1,2026-2,서울대 캠퍼스맵 API
12,사범교육협력센터(12동),37.45962,126.95479,2021-1,2026-2,서울대 캠퍼스맵 API
13,과학교육관(13동),37.45927,126.95389,2021-1,2026-2,서울대 캠퍼스맵 API
14,인문관7(14동),37.46093,126.95499,2021-1,2026-2,서울대 캠퍼스맵 API
15,법학관1(15동),37.46233,126.95174,2021-1,2026-2,서울대 캠퍼스맵 API
15-1,법학강의동(15-1동),37.46241,126.95126,2021-1,2026-2,서울대 캠퍼스맵 API
16,사회과학관(16동),37.46353,126.95092,2021-1,2026-2,서울대 캠퍼스맵 API
16-1,신양학술정보관Ⅲ(16-1동),37.46271,126.951,2021-1,2022-2,서울대 캠퍼스맵 API
17,법학관2(17동),37.46284,126.95187,2021-1,2026-2,서울대 캠퍼스맵 API
18,자연과학관1(18동),37.45678,126.95277,2021-1,2026-2,서울대 캠퍼스맵 API
19,자연과학관2(19동),37.45618,126.95277,2021-1,2026-2,서울대 캠퍼스맵 API
20,약학관3(20동),37.45869,126.95289,2021-2,2026-2,서울대 캠퍼스맵 API
21,약학관1(21동),37.45784,126.95223,2021-1,2026-2,서울대 캠퍼스맵 API
22,자연과학관4(22동),37.45792,126.95096,2021-1,2026-2,서울대 캠퍼스맵 API
24,자연과학관6(24동),37.45942,126.94989,2021-1,2026-2,서울대 캠퍼스맵 API
25,자연과학관7(25동),37.45856,126.94988,2021-1,2026-2,서울대 캠퍼스맵 API
25-1,자연대강의및실험연구동(25-1동),37.45897,126.94941,2021-1,2026-2,서울대 캠퍼스맵 API
26,자연과학관8(26동),37.45881,126.95036,2021-1,2026-2,서울대 캠퍼스맵 API
