building,first_seen,last_seen,semesters,sections
1,2021-1,2026-2,23,1406
2,2021-1,2026-2,23,2004
3,2021-1,2026-2,23,2386
4,2021-1,2026-2,16,307
5,2021-1,2026-2,22,1445
6,2021-1,2026-2,22,709
7,2021-1,2025-2,18,1609
8,2021-1,2026-2,23,1027
9,2021-1,2026-2,23,1258
10,2021-1,2026-2,23,631
10-1,2021-1,2026-2,23,705
11,2021-1,2026-2,23,1301
12,2021-1,2026-2,18,960
13,2021-1,2026-2,14,445
14,2021-1,2026-2,23,2045
15,2021-1,2026-2,13,112
15-1,2021-1,2026-2,14,1124
16,2021-1,2026-2,19,1288
16-1,2021-1,2022-2,4,38
17,2021-1,2026-2,12,399
18,2021-1,2026-2,13,195
19,2021-1,2026-2,11,133
20,2021-2,2026-2,11,518
21,2021-1,2026-2,9,129
22,2021-1,2026-2,9,30
24,2021-1,2026-2,23,1230
25,2021-1,2026-2,23,1159
25-1,2021-1,2026-2,13,320
26,2021-1,2026-2,23,2145
27,2022-2,2025-1,6,7
28,2023-1,2026-2,15,558
29,2021-1,2026-2,12,106
30,2021-1,2024-1,7,14
31,2021-1,2026-2,12,51
32,2021-1,2023-2,8,153
32-1,2024-S,2024-S,1,1
33,2021-1,2026-2,12,613
34,2021-1,2026-2,12,311
35,2021-1,2026-2,12,586
36,2021-1,2026-2,15,196
37,2021-1,2026-2,12,223
38,2021-1,2026-2,23,684
39,2021-1,2026-2,12,1077
40,2023-1,2026-1,4,5
43,2023-2,2026-2,7,152
43-1,2021-1,2026-2,23,1410
43-2,2023-2,2026-2,7,133
44-1,2021-1,2026-1,13,54
49,2021-1,2026-2,17,937
50,2021-1,2026-2,12,263
51,2021-1,2026-2,13,253
52,2022-1,2026-2,19,588
52-1,2022-1,2026-2,12,41
52-2,2021-1,2026-2,12,26
53,2021-1,2026-2,10,316
54,2021-1,2023-1,5,270
55,2021-1,2023-1,5,196
56,2021-1,2026-2,14,396
57,2021-1,2026-2,15,80
57-1,2021-1,2026-2,22,1213
58,2021-1,2026-2,19,1166
59,2021-1,2026-2,12,156
59-1,2022-1,2026-1,6,55
61,2023-1,2026-2,13,115
62,2025-1,2026-2,5,42
64,2021-1,2026-2,14,324
66,2025-2,2026-2,3,6
71,2026-2,2026-2,1,1
71-1,2021-1,2026-2,12,648
73,2021-1,2023-2,5,10
74,2021-1,2026-2,23,663
75,2025-1,2026-2,5,99
75-1,2021-1,2026-2,12,85
80,2026-2,2026-2,1,1
81,2021-1,2026-2,11,33
82,2021-1,2026-2,13,503
83,2021-1,2026-2,23,2157
84,2021-1,2026-2,12,182
85,2021-1,2026-2,12,759
85-1,2021-1,2026-2,9,20
86,2021-1,2026-2,12,95
101,2021-1,2026-2,16,430
103,2023-2,2025-2,5,10
105-2,2021-1,2025-2,7,12
129,2026-2,2026-2,1,1
132,2023-S,2026-2,8,10
135,2022-2,2022-2,1,1
140,2021-1,2026-2,14,127
140-1,2021-1,2026-2,19,211
140-2,2021-1,2026-2,17,147
142,2021-1,2026-2,7,36
143,2021-1,2026-2,12,409
152-1,2021-1,2026-2,9,14
153,2021-1,2026-2,11,76
200,2021-1,2026-2,17,2891
201,2021-1,2026-2,13,45
203,2021-1,2026-2,12,160
207,2021-1,2021-2,2,4
220,2021-1,2026-2,17,1652
221,2021-1,2026-2,12,342
222,2021-1,2026-2,19,1171
223,2022-1,2026-2,10,440
300,2023-1,2026-2,7,15
301,2021-1,2026-2,23,2342
302,2021-1,2026-2,14,1522
500,2021-1,2026-2,23,1656
942,2021-1,2026-2,12,95
